dataset,num_images,ch0_cos,ch0_mse,ch1_cos,ch1_mse,ch2_cos,ch2_mse,ch3_cos,ch3_mse,all_cos,all_mse
B100,100,0.7721209673583508,0.23845612317323683,0.46426183491945267,0.47092160493135454,0.2446960301976651,0.941107574403286,0.5747329127788544,0.4517946743965149,0.547321652173996,0.5255699971318245
Urban100,100,0.8048500007390976,0.3350625839829445,0.49866197526454925,0.5640311843156814,0.2603828722238541,1.2744947636127473,0.5550444024801254,0.6196007591485977,0.5564365975558758,0.6982973185181618
Manga109,109,0.8622481872182374,0.3664424401631049,0.6547800600528717,0.6087492135686612,0.40889007687021833,1.329827526840595,0.5281203326282151,0.6347842358667916,0.6576936931238262,0.73495085578446
Set14,14,0.7997319187436785,0.28447029846055166,0.46384067301239285,0.5019423578466687,0.30332659610680174,1.0832981211798531,0.5348372714860099,0.5030641640935626,0.5627519658633641,0.5931937375238964
Set5,5,0.7646955847740173,0.35749924182891846,0.5127629578113556,0.5848278522491455,0.33986122310161593,1.1529400825500489,0.5187084555625916,0.6044784486293793,0.5717452585697174,0.6749364018440247
OVERALL_WEIGHTED,328,0.8131154695207753,0.31422005207618564,0.538783511510346,0.5481715715694718,0.3079963020792958,1.1812265498063914,0.5506832678688736,0.5682814500135619,0.5878100345683533,0.6529749060367666
OVERALL_MACRO,5,0.8007293317666763,0.31638613752175127,0.5188615002121244,0.5460944425823022,0.31143135970003105,1.156333613717306,0.5422886749871593,0.5627444564269692,0.579189833457356,0.6453896621604734
