dataset,num_images,lua_psnr_y,lua_ssim_y,lua_psnr_rgb,lua_ssim_rgb
B100,100,27.37656758892645,0.7441551355096939,25.850429912203893,0.7141702235225444
Urban100,100,26.774083998841373,0.8168910681614665,24.98536224369601,0.7861026799712151
Manga109,109,30.189438483650655,0.9106227086488616,27.468016320301803,0.8647169405044868
Set14,14,28.24654189399305,0.7914975986506133,26.085066880155175,0.7406133139807921
Set5,5,30.60971634259688,0.8827096071778431,27.987948322717124,0.8297164767186771
OVERALL_WEIGHTED,328,28.21406744427924,0.8257835671549991,26.166840464751967,0.7890201391575898
OVERALL_MACRO,5,28.63926966160168,0.8291752236296958,26.475364735814804,0.7870639269395431
