dataset,num_images,lua_psnr_y,lua_ssim_y,lua_psnr_rgb,lua_ssim_rgb,lua_base_psnr_y,lua_base_ssim_y,lua_base_l1_rgb,lua_base_grad_l1
B100,100,27.37656758892645,0.7441551355096939,25.850429912203893,0.7141702235225444,30.62619925341417,0.9024959952198701,0.023935914151370526,0.017207952551543712
Urban100,100,26.774083998841373,0.8168910681614665,24.98536224369601,0.7861026799712151,30.26557166561458,0.9389084167359388,0.025154371364042163,0.016337684080936013
Manga109,109,30.189438483650655,0.9106227086488616,27.468016320301803,0.8647169405044868,31.186222848042217,0.9570022413106127,0.022681795487846802,0.013359663849952845
Set14,14,28.24654189399305,0.7914975986506133,26.085066880155175,0.7406133139807921,31.019737723042113,0.926168493315668,0.024215583157326494,0.015994951195482696
Set5,5,30.60971634259688,0.8827096071778431,27.987948322717124,0.8297164767186771,32.02310905868767,0.9573542999941,0.02240054905414581,0.0145381860435009
OVERALL_WEIGHTED,328,28.21406744427924,0.8257835671549991,26.166840464751967,0.7890201391575898,30.740448950474107,0.9335573655634986,0.02387916210118863,0.015571302651972851
OVERALL_MACRO,5,28.63926966160168,0.8291752236296958,26.475364735814804,0.7870639269395431,31.024168109760147,0.9363858893152379,0.02367764264294636,0.015487687544283235
