step,dataset,sample_id,mode,height,width,psnr_vs_vae,ssim_vs_vae,psnr_vs_raw,ssim_vs_raw,rgb_l1_vs_vae,hf_error_vs_vae,lf_drift_vs_base,lpips_vs_vae,feature_l1_base,feature_l1_1step,feature_l1_4step,gate_mean
6063,Manga109,ARMS,feature_bicubic,1168,816,21.611359667976963,0.544119119644165,21.292285403643106,0.5327486395835876,0.09929722547531128,0.06947730481624603,0.02235564962029457,0.10078518837690353,4.798454284667969,3.620999813079834,3.6788461208343506,0.9986794590950012
6063,Manga109,ARMS,rf_1step,1168,816,25.129745016012585,0.7124102115631104,24.5654045747054,0.6930070519447327,0.0686037465929985,0.04231581836938858,0.01717246137559414,0.04605068266391754,4.798454284667969,3.620999813079834,3.6788461208343506,0.9986794590950012
6063,Manga109,ARMS,rf_4step,1168,816,24.775731084370015,0.7086851000785828,24.297292737496182,0.6909908056259155,0.07149885594844818,0.04331173747777939,0.02051410637795925,0.0434093214571476,4.798454284667969,3.620999813079834,3.6788461208343506,0.9986794590950012
6063,Manga109,AisazuNihaIrarenai,feature_bicubic,1168,816,23.888355003878416,0.5870241522789001,23.526038847348524,0.5663676857948303,0.08623471856117249,0.055551618337631226,0.023661235347390175,0.04515219107270241,4.615562438964844,3.512340545654297,3.573241949081421,0.999523937702179
6063,Manga109,AisazuNihaIrarenai,rf_1step,1168,816,26.579146779344477,0.7159178853034973,25.95557389620223,0.6844792366027832,0.0670301765203476,0.03638403117656708,0.024108270183205605,0.018725689500570297,4.615562438964844,3.512340545654297,3.573241949081421,0.999523937702179
6063,Manga109,AisazuNihaIrarenai,rf_4step,1168,816,26.409654541587035,0.7139337658882141,25.831041654986628,0.6831133365631104,0.06804385036230087,0.03678371012210846,0.02505105547606945,0.018997713923454285,4.615562438964844,3.512340545654297,3.573241949081421,0.999523937702179
6063,Manga109,AkkeraKanjinchou,feature_bicubic,1168,816,19.90057982405636,0.5674138069152832,19.827755903058605,0.5608026385307312,0.11537842452526093,0.07964009046554565,0.028976472094655037,0.07776330411434174,4.959878921508789,3.6408417224884033,3.724824905395508,0.9967232346534729
6063,Manga109,AkkeraKanjinchou,rf_1step,1168,816,24.849399775346107,0.7685668468475342,24.655677279321534,0.7571147084236145,0.07038095593452454,0.04028531163930893,0.023714467883110046,0.021081050857901573,4.959878921508789,3.6408417224884033,3.724824905395508,0.9967232346534729
6063,Manga109,AkkeraKanjinchou,rf_4step,1168,816,24.621388824502265,0.7688576579093933,24.451774017679966,0.758036196231842,0.0724557638168335,0.04077770560979843,0.02488139271736145,0.020280493423342705,4.959878921508789,3.6408417224884033,3.724824905395508,0.9967232346534729
6063,Manga109,Akuhamu,feature_bicubic,1168,816,27.967052318854773,0.8292282819747925,27.71791558991434,0.8191166520118713,0.04659983143210411,0.02722710371017456,0.016791479662060738,0.03329479694366455,4.840780258178711,3.7974300384521484,3.8741493225097656,0.9992521405220032
