step,dataset,sample_id,mode,height,width,psnr_vs_vae,ssim_vs_vae,psnr_vs_raw,ssim_vs_raw,rgb_l1_vs_vae,hf_error_vs_vae,lf_drift_vs_base,lpips_vs_vae,feature_l1_base,feature_l1_1step,feature_l1_4step,gate_mean
6063,B100,101085,feature_bicubic,480,320,19.642159948752514,0.3456015884876251,19.49288176713114,0.3357250392436981,0.14492759108543396,0.11724597960710526,0.022763054817914963,0.2021332085132599,4.042388916015625,3.1111316680908203,3.1407577991485596,0.9991723895072937
6063,B100,101085,rf_1step,480,320,21.72185652225723,0.4838428497314453,21.519179144347966,0.4733255207538605,0.11462148278951645,0.08939007669687271,0.016078101471066475,0.13561013340950012,4.042388916015625,3.1111316680908203,3.1407577991485596,0.9991723895072937
6063,B100,101085,rf_4step,480,320,21.551409953084057,0.48110634088516235,21.361347330467048,0.47102537751197815,0.11688081175088882,0.0914439782500267,0.018378516659140587,0.12252632528543472,4.042388916015625,3.1111316680908203,3.1407577991485596,0.9991723895072937
6063,B100,101087,feature_bicubic,480,320,23.524965440797313,0.679305374622345,23.3981019615468,0.6755357980728149,0.07020359486341476,0.05328580364584923,0.015423400327563286,0.1514337807893753,4.048543930053711,3.1434195041656494,3.1835522651672363,0.9631571769714355
6063,B100,101087,rf_1step,480,320,26.51131698797527,0.7833619713783264,26.384031426739657,0.7794703841209412,0.05102616176009178,0.03621317818760872,0.011472346261143684,0.08502843976020813,4.048543930053711,3.1434195041656494,3.1835522651672363,0.9631571769714355
6063,B100,101087,rf_4step,480,320,26.35618000870451,0.7835583090782166,26.241291913873326,0.7793654799461365,0.05120835453271866,0.03667835891246796,0.011403214186429977,0.07777805626392365,4.048543930053711,3.1434195041656494,3.1835522651672363,0.9631571769714355
6063,B100,102061,feature_bicubic,480,320,21.751215172030328,0.6725126504898071,21.625773342084535,0.6668252944946289,0.08359403908252716,0.06246403977274895,0.01824144646525383,0.22259682416915894,4.145695686340332,3.198920488357544,3.233865976333618,0.9929554462432861
6063,B100,102061,rf_1step,480,320,24.831082482913082,0.7889407873153687,24.67559330007314,0.7822935581207275,0.05805329233407974,0.0424320362508297,0.015479658730328083,0.1116596907377243,4.145695686340332,3.198920488357544,3.233865976333618,0.9929554462432861
6063,B100,102061,rf_4step,480,320,24.66448994493204,0.7884153723716736,24.532378324408537,0.7822549343109131,0.06012260168790817,0.042913854122161865,0.01736271008849144,0.10206414759159088,4.145695686340332,3.198920488357544,3.233865976333618,0.9929554462432861
6063,B100,103070,feature_bicubic,320,480,25.52583273749709,0.6964370608329773,25.373436083723572,0.6904639005661011,0.06851670145988464,0.04311390593647957,0.020615095272660255,0.18709206581115723,4.4118781089782715,3.3177897930145264,3.3397347927093506,0.9981626868247986
6063,B100,103070,rf_1step,320,480,28.803888066898907,0.8175432682037354,28.501550142401335,0.8085765242576599,0.044435299932956696,0.02717006579041481,0.01152415294200182,0.12468448281288147,4.4118781089782715,3.3177897930145264,3.3397347927093506,0.9981626868247986
6063,B100,103070,rf_4step,320,480,28.680647484521685,0.8171678781509399,28.384897653330544,0.8088932633399963,0.04497424513101578,0.027533039450645447,0.013472755439579487,0.11583693325519562,4.4118781089782715,3.3177897930145264,3.3397347927093506,0.9981626868247986
6063,B100,105025,feature_bicubic,320,480,21.605698653728297,0.5206330418586731,21.526863548059364,0.5151040554046631,0.10667404532432556,0.08059187978506088,0.020764024928212166,0.2550607919692993,4.049042224884033,3.1323413848876953,3.159553050994873,0.9833472967147827
6063,B100,105025,rf_1step,320,480,23.956160249905754,0.6493813991546631,23.808269971977396,0.6412016749382019,0.08197099715471268,0.057846538722515106,0.013753960840404034,0.17654891312122345,4.049042224884033,3.1323413848876953,3.159553050994873,0.9833472967147827
6063,B100,105025,rf_4step,320,480,23.809017095940447,0.647541880607605,23.6642116149175,0.639336884021759,0.08309736102819443,0.059176255017519,0.014680523425340652,0.1621287316083908,4.049042224884033,3.1323413848876953,3.159553050994873,0.9833472967147827
6063,B100,106024,feature_bicubic,320,480,27.968873736885097,0.8030264973640442,27.82748567049348,0.7988443970680237,0.0447254478931427,0.028063757345080376,0.016456512734293938,0.13354046642780304,4.2170257568359375,3.258490562438965,3.281792640686035,0.9960604906082153
6063,B100,106024,rf_1step,320,480,31.73508604452763,0.867974579334259,31.482761613570048,0.863040566444397,0.028830112889409065,0.020110828801989555,0.008658594451844692,0.06384727358818054,4.2170257568359375,3.258490562438965,3.281792640686035,0.9960604906082153
6063,B100,106024,rf_4step,320,480,31.555536219156682,0.8666063547134399,31.356278819117396,0.8621992468833923,0.02985321171581745,0.02048797719180584,0.008825170807540417,0.06071832403540611,4.2170257568359375,3.258490562438965,3.281792640686035,0.9960604906082153
6063,B100,108005,feature_bicubic,320,480,21.269654316653913,0.5076378583908081,21.14655380775239,0.5006030201911926,0.10998880118131638,0.07837828993797302,0.02449708804488182,0.24306710064411163,4.329914093017578,3.2316033840179443,3.25883412361145,0.9987480640411377
6063,B100,108005,rf_1step,320,480,24.726417835493244,0.7020278573036194,24.529089183852687,0.6920140385627747,0.0741967260837555,0.048683129251003265,0.014047091826796532,0.13807323575019836,4.329914093017578,3.2316033840179443,3.25883412361145,0.9987480640411377
6063,B100,108005,rf_4step,320,480,24.586802857342157,0.7017146348953247,24.388656422571003,0.6923218369483948,0.07535327970981598,0.0496821254491806,0.015902075916528702,0.13004085421562195,4.329914093017578,3.2316033840179443,3.25883412361145,0.9987480640411377
6063,B100,108070,feature_bicubic,320,480,18.894579044827292,0.3407299816608429,18.752015451201736,0.33319708704948425,0.14685499668121338,0.11534705013036728,0.02389092557132244,0.37489017844200134,4.128535270690918,3.2111384868621826,3.227429151535034,0.999062716960907
6063,B100,108070,rf_1step,320,480,21.085147685477736,0.5066750049591064,20.883288895332516,0.4957950711250305,0.11450935900211334,0.083799347281456,0.016000470146536827,0.2644785940647125,4.128535270690918,3.2111384868621826,3.227429151535034,0.999062716960907
6063,B100,108070,rf_4step,320,480,20.870989827623845,0.5041220784187317,20.6835917092679,0.494500070810318,0.1170881912112236,0.08639579266309738,0.0170911755412817,0.24462144076824188,4.128535270690918,3.2111384868621826,3.227429151535034,0.999062716960907
6063,B100,108082,feature_bicubic,320,480,22.51797254527848,0.6092735528945923,22.351509598094776,0.6038299798965454,0.08884734660387039,0.06425407528877258,0.020511651411652565,0.23360688984394073,4.288162708282471,3.2696263790130615,3.2938077449798584,0.99390709400177
6063,B100,108082,rf_1step,320,480,25.659913946589214,0.7491046190261841,25.450603413334267,0.7418358325958252,0.061066608875989914,0.0418085902929306,0.01104011945426464,0.1362515687942505,4.288162708282471,3.2696263790130615,3.2938077449798584,0.99390709400177
6063,B100,108082,rf_4step,320,480,25.499781337233337,0.7481661438941956,25.30595490416983,0.7416459321975708,0.062002312391996384,0.04253692552447319,0.013272288255393505,0.12815430760383606,4.288162708282471,3.2696263790130615,3.2938077449798584,0.99390709400177
6063,B100,109053,feature_bicubic,320,480,24.34990796167421,0.6296542286872864,24.185586364603587,0.6231436133384705,0.07617650181055069,0.05244668573141098,0.019511690363287926,0.21012404561042786,4.240042686462402,3.2641100883483887,3.290530204772949,0.9967986345291138
6063,B100,109053,rf_1step,320,480,27.29691578687627,0.7507320046424866,27.00012334821554,0.7415253520011902,0.052604179829359055,0.03478248417377472,0.011289878748357296,0.15243421494960785,4.240042686462402,3.2641100883483887,3.290530204772949,0.9967986345291138
6063,B100,109053,rf_4step,320,480,27.14645175664483,0.7491276264190674,26.852587335538153,0.740451991558075,0.05340568348765373,0.035404205322265625,0.014230101369321346,0.14408659934997559,4.240042686462402,3.2641100883483887,3.290530204772949,0.9967986345291138
6063,B100,119082,feature_bicubic,320,480,19.20121400378951,0.4782785177230835,19.117591037369724,0.4767233729362488,0.138264000415802,0.10322979837656021,0.028925878927111626,0.20844998955726624,4.467483043670654,3.341372489929199,3.364469051361084,0.9982271790504456
6063,B100,119082,rf_1step,320,480,23.42603857289233,0.7179393172264099,23.301435561497257,0.7139148712158203,0.08545570820569992,0.06105703115463257,0.016031751409173012,0.10593102872371674,4.467483043670654,3.341372489929199,3.364469051361084,0.9982271790504456
6063,B100,119082,rf_4step,320,480,23.289461989088526,0.718620240688324,23.180408568167405,0.715347945690155,0.08657869696617126,0.06184300035238266,0.017763109877705574,0.09922564774751663,4.467483043670654,3.341372489929199,3.364469051361084,0.9982271790504456
6063,B100,12084,feature_bicubic,320,480,22.06012052492384,0.46167445182800293,21.870255017682943,0.45217740535736084,0.10862415283918381,0.07550199329853058,0.024923505261540413,0.2666565179824829,4.3434953689575195,3.345599412918091,3.368774175643921,0.9986178874969482
6063,B100,12084,rf_1step,320,480,24.824755929141826,0.646215558052063,24.55416464602784,0.6337419748306274,0.0805843397974968,0.048602066934108734,0.01917143538594246,0.17030839622020721,4.3434953689575195,3.345599412918091,3.368774175643921,0.9986178874969482
6063,B100,12084,rf_4step,320,480,24.61817216693696,0.6428329944610596,24.374815958648952,0.6315903067588806,0.08235418796539307,0.04987594857811928,0.020697403699159622,0.15626657009124756,4.3434953689575195,3.345599412918091,3.368774175643921,0.9986178874969482
