dataset,num_images,lua_ch0_cos,lua_ch0_mse,lua_ch1_cos,lua_ch1_mse,lua_ch2_cos,lua_ch2_mse,lua_ch3_cos,lua_ch3_mse,lua_ch4_cos,lua_ch4_mse,lua_ch5_cos,lua_ch5_mse,lua_ch6_cos,lua_ch6_mse,lua_ch7_cos,lua_ch7_mse,lua_ch8_cos,lua_ch8_mse,lua_ch9_cos,lua_ch9_mse,lua_ch10_cos,lua_ch10_mse,lua_ch11_cos,lua_ch11_mse,lua_ch12_cos,lua_ch12_mse,lua_ch13_cos,lua_ch13_mse,lua_ch14_cos,lua_ch14_mse,lua_ch15_cos,lua_ch15_mse,lua_all_cos,lua_all_mse,bicubic_ch0_cos,bicubic_ch0_mse,bicubic_ch1_cos,bicubic_ch1_mse,bicubic_ch2_cos,bicubic_ch2_mse,bicubic_ch3_cos,bicubic_ch3_mse,bicubic_ch4_cos,bicubic_ch4_mse,bicubic_ch5_cos,bicubic_ch5_mse,bicubic_ch6_cos,bicubic_ch6_mse,bicubic_ch7_cos,bicubic_ch7_mse,bicubic_ch8_cos,bicubic_ch8_mse,bicubic_ch9_cos,bicubic_ch9_mse,bicubic_ch10_cos,bicubic_ch10_mse,bicubic_ch11_cos,bicubic_ch11_mse,bicubic_ch12_cos,bicubic_ch12_mse,bicubic_ch13_cos,bicubic_ch13_mse,bicubic_ch14_cos,bicubic_ch14_mse,bicubic_ch15_cos,bicubic_ch15_mse,bicubic_all_cos,bicubic_all_mse
B100,100,0.623611276820302,2.1965190243721007,0.8624302470684051,4.916221899986267,0.6429532048851252,2.827389577627182,0.36763041347265246,1.9261713647842407,0.5568094888329506,1.871349380016327,0.5954395020753145,5.356029646396637,0.927871481180191,1.3566301274299621,0.8130155512690544,1.513301373720169,0.39524628859944644,3.2921159934997557,0.8492801457643508,2.121067148447037,0.5645617808774114,2.3892591786384583,0.2606236925767735,5.861833817958832,0.773393243253231,4.260273432731628,0.8761274534463882,1.347641448378563,0.7762000912427902,2.4195915770530703,0.7725814422965049,2.443604038953781,0.7530026268959046,2.8811874413490295,0.42162092121317984,2.8304958605766295,0.8000713905692101,3.454515228271484,0.5516897289454937,2.341839202642441,0.2642837496474385,2.371837992668152,0.3624958851188421,2.0277356731891634,0.6020914383232594,1.5692024207115174,0.864411249756813,1.7843730914592744,0.6603400695323944,2.190099596977234,0.49714309014379976,2.3789307379722597,0.7878267768025399,1.5414550065994264,0.6578135406970977,1.8735611426830292,0.6762134709954262,1.7873177647590637,0.7382734332233667,2.001981511116028,0.8299568253755569,1.3000366163253785,0.6621706275641919,2.3504565143585205,0.6708065384626388,2.526156475543976,0.7252080309391021,2.1456246757507325
Urban100,100,0.7377697223424912,1.9827509593963624,0.864598063826561,5.025752391815185,0.6622179432213307,2.218360871076584,0.4786536751687527,2.0359297227859496,0.7047644659876824,1.4636285620927811,0.5494660041667521,4.034587886333465,0.9290123850107193,1.3500735139846802,0.8426451826095581,1.4342339503765107,0.5622558321617543,3.824421865940094,0.864941388964653,1.7107724004983902,0.6596038803458214,2.0566626250743867,0.43939046274870636,5.470603237152099,0.7782631820440292,3.420254896879196,0.888358263373375,1.54269474029541,0.7780078062415123,2.3770730805397036,0.8163054037094116,2.1396391010284423,0.7809332501888275,2.6304649817943573,0.5132628693431616,3.279743375778198,0.7971479094028473,3.758858845233917,0.5172851075977087,2.656835699081421,0.3016572929918766,2.4864658093452454,0.4410415604710579,2.5094991266727447,0.5812618903815746,1.8502794373035432,0.8286182790994644,2.1966993951797487,0.670889407992363,2.4407405316829682,0.5073196214810014,2.5373104119300844,0.8099696668982506,1.6328793609142302,0.6154922267794609,2.1193613874912263,0.6640688008069993,2.0464916503429413,0.7401214894652367,2.2551137709617617,0.8153149670362473,1.5461525332927704,0.6366416662931442,2.576831121444702,0.6725933316349983,2.8993131136894226,0.7097302693128585,2.424535974264145
Manga109,109,0.8526025403530226,1.9469653794524866,0.8781140731015337,3.593382308242518,0.8802657182063531,1.9062246565425067,0.6259723472485849,1.9927193112329606,0.8012117038079358,1.2895587715533896,0.7725021472764672,1.9625695254824578,0.9539641311409277,1.5853407497799725,0.8937575647590357,1.3709162550235012,0.755411004801409,3.0103915000180588,0.9574107478518005,1.7948696914069149,0.8040990955239042,1.650861398889384,0.8162578918518276,3.8044160167011647,0.8709274194109331,2.1519248463691922,0.9479116567777931,1.2005063098505002,0.8867164735400349,1.9141268347381453,0.8984038698563882,1.8004777278375188,0.8860826957116433,2.060953198222939,0.6453714950369038,3.6773007659737122,0.8094990636230609,4.525694427140262,0.7737070644667389,3.14628627759601,0.4049617587973218,2.6535506095361274,0.4795925808609079,2.679059794189733,0.7320557176519972,2.1758297484949094,0.8752261744726688,2.7687255122246,0.7512249757937335,2.708096961362646,0.6604075867921935,2.678178378201406,0.9121812281258609,2.3254717008783183,0.677797400076455,2.292757749557495,0.7893333013998259,2.1150808487463433,0.8310396047907138,2.4255092067456028,0.8708985229150965,1.9165538024464879,0.7725469464555793,2.828942351384994,0.7883703353208139,3.104937417791524,0.80054790656501,2.7513734791256965
Set14,14,0.6979667310203824,2.2797687905175343,0.8663511531693595,4.353697095598493,0.7047652793782098,2.2946060044424876,0.4398790917226246,2.133663594722748,0.677949343408857,1.6782019138336182,0.49883547199091743,4.208612646375384,0.9334981186049325,1.3586118476731437,0.8337319663592747,1.5751156210899353,0.4477381929755211,3.180633578981672,0.8650335584368024,1.9183388182095118,0.6292116791009903,2.821856541293008,0.5093036983162165,5.920579314231873,0.7387533911636898,3.712737364428384,0.9103470359529767,1.7043306529521942,0.8011238021509988,2.0857198578970775,0.7656861948115485,2.189023665019444,0.7771994130952018,2.713468619755336,0.47928381179060253,3.2077973570142473,0.7897979319095612,3.786928244999477,0.626163437962532,2.6912053738321577,0.2749725931457111,2.4983056443078175,0.4451455090727125,2.3895716752324785,0.5799348333052227,1.735620481627328,0.8509235169206347,2.1801702039582387,0.6776047561849866,2.3444219487054005,0.41845788221274105,2.5372289078576222,0.8128590711525508,1.7122176715305872,0.6428629394088473,2.1009662662233626,0.6899886088711875,1.9921356780188424,0.6957257432597024,2.141895362309047,0.8540442841393607,1.510615246636527,0.6634464327778135,2.5754224913460866,0.6486527579171317,2.783021722521101,0.7218010808740344,2.3867202741759166
Set5,5,0.7732676267623901,2.3069037914276125,0.9088144898414612,4.301853370666504,0.8393890619277954,1.9569325923919678,0.4689503610134125,1.9955115556716918,0.7575216174125672,1.4662136793136598,0.4850076913833618,2.5701184034347535,0.9403454661369324,1.2438870310783385,0.88852618932724,1.3442378282546996,0.4714082956314087,2.4781975746154785,0.9450887799263,1.8545257091522216,0.6322210311889649,2.693053436279297,0.6629058003425599,4.901175785064697,0.8194607496261597,3.393332576751709,0.9372745275497436,1.449909508228302,0.8343759179115295,1.8827473878860475,0.8792829632759094,2.0263784885406495,0.8522647261619568,2.3665611505508424,0.524048101902008,3.4772293090820314,0.8387065649032592,3.6698467254638674,0.726840615272522,2.9392488479614256,0.301513135433197,2.5796382427215576,0.46494815349578855,2.617877650260925,0.46181206703186034,2.316477084159851,0.8415165662765502,2.5278433561325073,0.7263279438018799,2.8013590812683105,0.45707444548606874,2.46339750289917,0.8896791696548462,2.2227832794189455,0.5535485863685607,2.022428607940674,0.7047959327697754,1.9832435846328735,0.7430281281471253,2.4432838678359987,0.8587773680686951,1.8273152112960815,0.682239580154419,2.7374752521514893,0.7400205969810486,3.220551872253418,0.7592836022377014,2.615624952316284
OVERALL_WEIGHTED,328,0.7399684426306588,2.0536509352486307,0.8691776025949455,4.476637582226497,0.7333223698660731,2.2995813398099525,0.49195870062018315,1.9916626883716118,0.6913669819875461,1.539285352135577,0.6344573772625952,3.7340030506616686,0.9373206643433105,1.4290015453972467,0.8509162390922628,1.4419396708651286,0.5692542310344146,3.3436168214169943,0.8921214594710164,1.8748601318859472,0.6769312079200839,2.0655711329564816,0.5165192272028568,5.046704392244176,0.8065139709449396,3.2669439853691475,0.9061041872312383,1.3749969003767502,0.8154283481218466,2.2162198344381845,0.8290570974349976,2.119983567333803,0.8082887712048321,2.5171661809450243,0.5279392862476681,3.2748323678970337,0.8024635115956388,3.9207449053845753,0.6208294051494904,2.7292250423896602,0.3234515791281876,2.508969106325289,0.4304454688028228,2.4155011867604603,0.6358462015121449,1.8749838431433934,0.8561680425957936,2.2654266132087244,0.6955017573768045,2.4545587937279447,0.5505319533574327,2.534706556215519,0.8385238447567311,1.8475451705659307,0.6493241385352321,2.099782068554948,0.7111261500636252,1.986984364143232,0.767921067797011,2.2326005675443787,0.8405659300525014,1.5969770394447373,0.6914277271617476,2.5939840579905162,0.7105292535227973,2.8538115882292026,0.7458999542201438,2.4494145817872957
OVERALL_MACRO,5,0.7370435794597177,2.1425815890332194,0.876061605401464,4.438181413261793,0.7459182415237628,2.240702740416146,0.47621717772520544,2.016799109839518,0.6996513238899986,1.5537904613619553,0.5802501633785626,3.62638362160454,0.9369383164147406,1.3789086539892197,0.8543352908648325,1.4475610056929633,0.5264119228339078,3.157152102611012,0.8963509241887813,1.8799147535428151,0.6579394934074184,2.3223386360349068,0.5376963091672167,5.191721634221734,0.7961595970996086,3.3877046234320227,0.9120037874200554,1.449016531940994,0.8152848182173731,2.1358517476228087,0.8264519747899526,2.119824604275967,0.809896542410707,2.530527078334501,0.5167174398571712,3.2945133336849635,0.8070445720815878,3.8391686942218017,0.6391371908489991,2.755083080222691,0.309477706003109,2.51795965971578,0.43864473780386176,2.4447487839090085,0.5914311893387828,1.9294818344594298,0.8521391573052263,2.291562311790874,0.6972774306610715,2.4969436239993117,0.5080805252231608,2.5190091877721086,0.8425031825268097,1.8869614038683018,0.6295029386660843,2.081815030779157,0.7048800229686429,1.9848539053000127,0.749637679777229,2.2535567437936876,0.8457983935069914,1.620134681999449,0.6834090506490297,2.6138255461371585,0.7040887120633262,2.906796120359888,0.7433141779857413,2.4647758711265544
