dataset,num_images,lsr_psnr_y,lsr_ssim_y,lsr_psnr_rgb,lsr_ssim_rgb,lsrna_psnr_y,lsrna_ssim_y,lsrna_psnr_rgb,lsrna_ssim_rgb
B100,100,21.796694064168378,0.47600986747829793,19.88881133382358,0.42332018788459747,17.278808900877433,0.4332791002566195,15.324636774847683,0.3709363740553565
Urban100,100,20.517868262176062,0.5403556644977777,18.681251769992482,0.49276188601206933,16.230986170998193,0.45536708618668487,14.253204767306261,0.3964919600027136
Manga109,109,22.04760199652358,0.6741539773333195,19.366640518154327,0.6134584518334221,17.927354274575272,0.6061532011854884,15.384962759669632,0.5344047479500004
Set14,14,22.074530547098785,0.5225608008258439,19.716528803426797,0.4488930563828894,17.292153963891995,0.4565401450569401,15.115699462767163,0.3744233809601812
Set5,5,23.118471447790206,0.6425212119721622,20.63897980462125,0.5219695725116571,17.955778697952326,0.5290983655431043,15.772142401248084,0.3902647924743234
OVERALL_WEIGHTED,328,21.52219705839588,0.5659993719462257,19.351208625400943,0.5102729551567939,17.185762719818644,0.49991576656116277,15.015931705805992,0.4334945189883269
OVERALL_MACRO,5,21.911033263551406,0.5711203044214802,19.658442446003686,0.500080630924927,17.337016401659046,0.49608757964576744,15.170129233167765,0.413304251088515
