dataset,sample_id,mode,height,width,psnr_vs_vae,ssim_vs_vae,psnr_vs_raw,ssim_vs_raw,base_psnr_rgb,base_ssim_rgb,base_l1_rgb,base_grad_l1,hf_energy,hf_gain_vs_base_up,hf_error_vs_vae,lf_drift_vs_base
Set5,baby,feature_bicubic,496,496,28.15931014692362,0.7562289237976074,27.896145051839653,0.7468897700309753,29.076772275303963,0.8416747450828552,0.022996360436081886,0.05343150347471237,0.027713416144251823,1.7900680010450316,0.03311106935143471,0.015942567959427834
Set5,baby,rf_1step,496,496,31.342726686589046,0.8502206206321716,30.827141367604543,0.8380429744720459,31.505810693730233,0.8988833427429199,0.018020667135715485,0.04387237876653671,0.016555851325392723,1.0693773562012296,0.021918416023254395,0.011298437602818012
Set5,bird,feature_bicubic,288,288,25.366680980505794,0.731497585773468,25.230210365214475,0.7226582169532776,26.030917703613348,0.8233920931816101,0.032577209174633026,0.06514342129230499,0.031485650688409805,1.614884728882948,0.03556069731712341,0.02400371804833412
Set5,bird,rf_1step,288,288,28.36468752661027,0.8417934775352478,28.105713548913936,0.8292309045791626,28.23798061794543,0.8792106509208679,0.02576819621026516,0.04828450828790665,0.019021155312657356,0.9755864201157627,0.01882018893957138,0.022664520889520645
Set5,butterfly,feature_bicubic,240,240,19.191648643383306,0.6372434496879578,19.164515263985344,0.6339607834815979,20.626948186307065,0.8056256175041199,0.06113675609230995,0.14602291584014893,0.08147042244672775,1.5836292953841506,0.09200037270784378,0.04066557064652443
Set5,butterfly,rf_1step,240,240,24.606885856086066,0.8489654064178467,24.498183028930708,0.8431640863418579,25.62172033837244,0.9281808733940125,0.034234996885061264,0.08403675258159637,0.05608953535556793,1.0902733616195959,0.044952310621738434,0.023368140682578087
Set5,head,feature_bicubic,272,272,27.605799989801753,0.6162161231040955,26.82603478617564,0.5732167959213257,28.791836723431217,0.7662968635559082,0.025563539937138557,0.06631255149841309,0.03225591033697128,1.8933105925184905,0.04367545619606972,0.015316403470933437
Set5,head,rf_1step,272,272,30.236887322251818,0.7272703051567078,28.96448425594957,0.677462637424469,30.82320254825694,0.8335478901863098,0.02038475126028061,0.05769168958067894,0.019839826971292496,1.1645293580639695,0.03281741961836815,0.010525991208851337
Set5,woman,feature_bicubic,336,224,22.70447039721615,0.7458443641662598,22.673447515105426,0.74531489610672,23.917153501553734,0.8417950868606567,0.0367073193192482,0.08369751274585724,0.04462778940796852,1.6890670461857933,0.0523340217769146,0.025247547775506973
Set5,woman,rf_1step,336,224,27.8284634623802,0.8820936679840088,27.72427513945445,0.8806138038635254,28.486569932328894,0.9335976243019104,0.021819056943058968,0.05426686257123947,0.02758423238992691,1.0440046110784318,0.028360771015286446,0.016819845885038376
