step,dataset,sample_id,mode,height,width,psnr_vs_vae,ssim_vs_vae,psnr_vs_raw,ssim_vs_raw,rgb_l1_vs_vae,hf_error_vs_vae,lf_drift_vs_base,lpips_vs_vae,feature_l1_base,feature_l1_1step,feature_l1_4step,gate_mean
6063,FLUX179,img_0000000,feature_bicubic,1024,1024,33.238807883392454,0.885761022567749,33.0615810073794,0.8870366811752319,0.027713170275092125,0.017450865358114243,0.01320277713239193,0.031347934156656265,4.008367538452148,3.1611123085021973,3.2299647331237793,0.9983934164047241
6063,FLUX179,img_0000000,rf_1step,1024,1024,35.985362189485684,0.9102043509483337,34.477124353803596,0.9044898748397827,0.021371643990278244,0.01517927274107933,0.01299189031124115,0.010036238469183445,4.008367538452148,3.1611123085021973,3.2299647331237793,0.9983934164047241
6063,FLUX179,img_0000000,rf_4step,1024,1024,35.42999186619338,0.90839022397995,33.91558771615395,0.902599036693573,0.02346663735806942,0.015295146033167839,0.016689738258719444,0.009812823496758938,4.008367538452148,3.1611123085021973,3.2299647331237793,0.9983934164047241
6063,FLUX179,img_0000001,feature_bicubic,1024,1024,28.415180732136285,0.8354787826538086,28.28990805304459,0.8329576849937439,0.035730086266994476,0.022397972643375397,0.012988865375518799,0.053581852465867996,4.079059600830078,2.95139217376709,3.032451629638672,0.9923926591873169
6063,FLUX179,img_0000001,rf_1step,1024,1024,32.02015433857868,0.8764241933822632,31.62095759222428,0.8249386548995972,0.02762201987206936,0.0139737818390131,0.01803351193666458,0.0167490653693676,4.079059600830078,2.95139217376709,3.032451629638672,0.9923926591873169
6063,FLUX179,img_0000001,rf_4step,1024,1024,31.624614617351057,0.8678907155990601,31.220113390465446,0.815189778804779,0.029799800366163254,0.014028923586010933,0.020690008997917175,0.016677049919962883,4.079059600830078,2.95139217376709,3.032451629638672,0.9923926591873169
6063,FLUX179,img_0000002,feature_bicubic,1024,1024,30.68711547734899,0.8713792562484741,30.385126407266334,0.8712009191513062,0.034399859607219696,0.02017083577811718,0.014830279164016247,0.04687439650297165,4.329341888427734,3.1226181983947754,3.1860344409942627,0.9977227449417114
6063,FLUX179,img_0000002,rf_1step,1024,1024,35.351616694059615,0.9350535869598389,33.985401847452835,0.9306988716125488,0.022737465798854828,0.013056129217147827,0.014235547743737698,0.008624942041933537,4.329341888427734,3.1226181983947754,3.1860344409942627,0.9977227449417114
6063,FLUX179,img_0000002,rf_4step,1024,1024,35.08971667564549,0.9336470365524292,33.729714624580865,0.9298425912857056,0.0235215462744236,0.013197364285588264,0.015574511140584946,0.009022886864840984,4.329341888427734,3.1226181983947754,3.1860344409942627,0.9977227449417114
6063,FLUX179,img_0000003,feature_bicubic,1024,1024,23.373244669759316,0.7374250292778015,23.291109085120315,0.7355145215988159,0.05886196717619896,0.04729216545820236,0.011316932737827301,0.1077217310667038,3.776181697845459,3.105801582336426,3.181004524230957,0.9891605973243713
6063,FLUX179,img_0000003,rf_1step,1024,1024,25.504242282107516,0.7940294146537781,25.428232584080448,0.7897512912750244,0.04789261147379875,0.03617791086435318,0.011399855837225914,0.05972077697515488,3.776181697845459,3.105801582336426,3.181004524230957,0.9891605973243713
6063,FLUX179,img_0000003,rf_4step,1024,1024,25.314553590232293,0.7924326658248901,25.26946527074569,0.7908295392990112,0.04969589039683342,0.03643607348203659,0.013040663674473763,0.05233938246965408,3.776181697845459,3.105801582336426,3.181004524230957,0.9891605973243713
6063,FLUX179,img_0000004,feature_bicubic,1024,1024,22.04510220642455,0.6708781719207764,21.956721795885233,0.6708382368087769,0.07614275068044662,0.059479009360075,0.014941290020942688,0.11361397802829742,3.850872278213501,2.967101812362671,3.0472261905670166,0.9827467203140259
6063,FLUX179,img_0000004,rf_1step,1024,1024,25.49953487691916,0.7907354235649109,25.40053821517492,0.7901920080184937,0.051938802003860474,0.03954174742102623,0.011033907532691956,0.05983899533748627,3.850872278213501,2.967101812362671,3.0472261905670166,0.9827467203140259
6063,FLUX179,img_0000004,rf_4step,1024,1024,25.299585134218454,0.7908774614334106,25.231172747396258,0.7906851172447205,0.052648842334747314,0.03992098569869995,0.011751282960176468,0.057934120297431946,3.850872278213501,2.967101812362671,3.0472261905670166,0.9827467203140259
6063,FLUX179,img_0000005,feature_bicubic,1024,1024,23.178601938071917,0.6032034754753113,23.03568816738542,0.6038259863853455,0.08127416670322418,0.06309916824102402,0.01732940413057804,0.14112669229507446,4.030289649963379,3.1374573707580566,3.197011947631836,0.9949408769607544
6063,FLUX179,img_0000005,rf_1step,1024,1024,26.36079720494008,0.7298087477684021,26.200096081929004,0.7295875549316406,0.057474493980407715,0.04326511546969414,0.01209181733429432,0.061886999756097794,4.030289649963379,3.1374573707580566,3.197011947631836,0.9949408769607544
