sample_id,height,width,feature_bicubic_psnr_vs_vae,rf_1step_psnr_vs_vae,rf_4step_psnr_vs_vae,feature_bicubic_ssim_vs_vae,rf_1step_ssim_vs_vae,rf_4step_ssim_vs_vae,rf_1step_psnr_vs_raw,rf_4step_psnr_vs_raw,rgb_l1_bicubic_vs_vae,rgb_l1_rf_1step_vs_vae,rgb_l1_rf_4step_vs_vae,gate_mean
img001,640,1024,21.994500739991466,25.97261743968516,25.80432552650036,0.5404073596000671,0.7184717655181885,0.7165115475654602,25.748393929790367,25.616729504769925,0.09517105668783188,0.06084546074271202,0.06180839240550995,0.9865650534629822
img002,768,1024,21.148963998553295,25.056588320437715,24.75087101084332,0.5726165771484375,0.7897100448608398,0.7865867614746094,24.788873919255284,24.52069194338914,0.11323731392621994,0.06942050904035568,0.0719447061419487,0.9993212223052979
img003,672,1024,18.868074826778365,22.065249253050617,21.868318319367987,0.4253275990486145,0.6344339847564697,0.6347410678863525,21.64823377323955,21.486670276254817,0.1458270400762558,0.09919676929712296,0.10135667771100998,0.9993511438369751
img004,672,1024,17.909486123653153,22.767556929481472,22.713510004482856,0.5844505429267883,0.8258164525032043,0.8248594999313354,22.768508264514132,22.712460739394004,0.15023432672023773,0.0825963243842125,0.08343741297721863,0.9986717700958252
img005,768,1024,20.74084467298803,25.718635214426747,25.50636883754273,0.7861912846565247,0.9124606251716614,0.9108759760856628,25.33538735102862,25.17388521041141,0.08618315309286118,0.04812042787671089,0.05062868446111679,0.994454026222229
img006,1024,1024,17.425823523253825,20.466461807717323,20.223743010287222,0.36323031783103943,0.5737446546554565,0.5740097761154175,20.330021580424273,20.11514649531747,0.17269834876060486,0.12264981120824814,0.12541216611862183,0.9995362758636475
img007,672,1024,23.006485167180557,27.52132440336164,27.311897716742042,0.6557235717773438,0.8328418135643005,0.8319571018218994,27.200070827742987,27.038132980130754,0.09120243787765503,0.05580053851008415,0.057419486343860626,0.9931386709213257
img008,560,1024,16.46621312160842,19.589138284223036,19.405625857588433,0.3712701201438904,0.6270763278007507,0.6293665170669556,19.435509749312907,19.26348233796006,0.20046880841255188,0.13548223674297333,0.13761472702026367,0.9992015361785889
img009,784,1024,28.00718153764807,32.658804016490095,32.2395783524055,0.7994617223739624,0.9135197997093201,0.911678671836853,31.612988268368728,31.37068330996587,0.04054521769285202,0.02490333840250969,0.026728518307209015,0.9953428506851196
img010,816,1024,20.423814015183996,25.861328791273955,25.708528148455123,0.7204881906509399,0.8580957651138306,0.8581259846687317,25.44448739542728,25.39026010714693,0.08359129726886749,0.04715836048126221,0.04820725694298744,0.9959787726402283
