dataset,num_images,lsr_psnr_y,lsr_ssim_y,lsr_psnr_rgb,lsr_ssim_rgb,lsr_base_psnr_y,lsr_base_ssim_y,lsr_base_l1_rgb,lsr_base_grad_l1,lsrna_psnr_y,lsrna_ssim_y,lsrna_psnr_rgb,lsrna_ssim_rgb,lsrna_base_psnr_y,lsrna_base_ssim_y,lsrna_base_l1_rgb,lsrna_base_grad_l1
B100,100,21.796694064168378,0.47600986747829793,19.88881133382358,0.42332018788459747,24.46961001973253,0.6642005827197117,0.06046747136861086,0.03467938134912402,17.278808900877433,0.4332791002566195,15.324636774847683,0.3709363740553565,17.734683072725964,0.4662990530288878,0.11383822727948427,0.06777194124646485
Urban100,100,20.517868262176062,0.5403556644977777,18.681251769992482,0.49276188601206933,23.225461286250685,0.716377266796927,0.06351529842242598,0.04047747722826898,16.230986170998193,0.45536708618668487,14.253204767306261,0.3964919600027136,16.882277425977364,0.5071958326667967,0.12203705657273531,0.07652484022080898
Manga109,109,22.04760199652358,0.6741539773333195,19.366640518154327,0.6134584518334221,23.839050360114978,0.7869405589712186,0.06023694904640727,0.03380843611656252,17.927354274575272,0.6061532011854884,15.384962759669632,0.5344047479500004,18.42622975113284,0.6242208083183886,0.10052351588639644,0.058629038512980174
Set14,14,22.074530547098785,0.5225608008258439,19.716528803426797,0.4488930563828894,24.16256069422681,0.7002885093187282,0.06250411564750331,0.03562426846474409,17.292153963891995,0.4565401450569401,15.115699462767163,0.3744233809601812,17.690607243763143,0.5021326004597405,0.11414852259414536,0.0673534558819873
Set5,5,23.118471447790206,0.6425212119721622,20.63897980462125,0.5219695725116571,24.191277647100133,0.770555823662536,0.062469993531703946,0.03555330000817776,17.955778697952326,0.5290983655431043,15.772142401248084,0.3902647924743234,18.123161731820844,0.5575038360270881,0.11090366691350936,0.06523420065641403
OVERALL_WEIGHTED,328,21.52219705839588,0.5659993719462257,19.351208625400943,0.5102729551567939,23.863402005504668,0.7240583052692121,0.06143753662160257,0.03621131601521927,17.185762719818644,0.49991576656116277,15.015931705805992,0.4334945189883269,17.70865671590122,0.5341674764111115,0.11188167459672181,0.06734561808009791
OVERALL_MACRO,5,21.911033263551406,0.5711203044214802,19.658442446003686,0.500080630924927,23.97759200148503,0.7276725482938243,0.06183876560333028,0.036028572633375465,17.337016401659046,0.49608757964576744,15.170129233167765,0.413304251088515,17.771391845084032,0.5314704261001804,0.11229019784925413,0.06710269530373107
