dataset,sample_id,mode,height,width,psnr_vs_vae,ssim_vs_vae,psnr_vs_raw,ssim_vs_raw,base_psnr_rgb,base_ssim_rgb,base_l1_rgb,base_grad_l1,hf_energy,hf_gain_vs_base_up,hf_error_vs_vae,lf_drift_vs_base
FLUX179_x2_unpaired,img_0000000,feature_bicubic,2048,2048,nan,nan,nan,nan,36.19682688294424,0.9272834062576294,0.011207260191440582,0.02133225090801716,0.011830742470920086,1.8350367479342198,nan,0.016076043248176575
FLUX179_x2_unpaired,img_0000000,rf_1step,2048,2048,nan,nan,nan,nan,36.51469986315152,0.9394375681877136,0.01184758823364973,0.020266074687242508,0.01039051916450262,1.6116473284617294,nan,0.01997569017112255
FLUX179_x2_unpaired,img_0000001,feature_bicubic,2048,2048,nan,nan,nan,nan,32.71799669601896,0.8876791000366211,0.012101035565137863,0.021439701318740845,0.011801974847912788,1.7495420184048613,nan,0.014105725102126598
FLUX179_x2_unpaired,img_0000001,rf_1step,2048,2048,nan,nan,nan,nan,34.29784341715998,0.8448642492294312,0.01321033388376236,0.016294624656438828,0.007789916824549437,1.1547886671558614,nan,0.021119989454746246
FLUX179_x2_unpaired,img_0000002,feature_bicubic,2048,2048,nan,nan,nan,nan,35.39645624724629,0.9445263743400574,0.01178902667015791,0.019060999155044556,0.010648930445313454,1.6683595095103858,nan,0.01708887331187725
FLUX179_x2_unpaired,img_0000002,rf_1step,2048,2048,nan,nan,nan,nan,36.97917556960339,0.9607641100883484,0.011405306868255138,0.016177138313651085,0.009223675355315208,1.445065921944216,nan,0.0196799598634243
FLUX179_x2_unpaired,img_0000003,feature_bicubic,2048,2048,nan,nan,nan,nan,26.551666829840414,0.8281290531158447,0.02126120589673519,0.05371022969484329,0.029878666624426842,1.925734258061085,nan,0.013929694890975952
FLUX179_x2_unpaired,img_0000003,rf_1step,2048,2048,nan,nan,nan,nan,30.13129117398043,0.8968914747238159,0.016114000231027603,0.03968832641839981,0.01795957237482071,1.1575270147445265,nan,0.015043279156088829
FLUX179_x2_unpaired,img_0000004,feature_bicubic,2048,2048,nan,nan,nan,nan,25.526236983708714,0.81269371509552,0.02588079497218132,0.05874631553888321,0.03490845859050751,1.8684978368245697,nan,0.016503488644957542
FLUX179_x2_unpaired,img_0000004,rf_1step,2048,2048,nan,nan,nan,nan,30.78892056140349,0.9268593788146973,0.017537709325551987,0.03651430457830429,0.01999128982424736,1.0700467250678503,nan,0.01804967224597931
FLUX179_x2_unpaired,img_0000005,feature_bicubic,2048,2048,nan,nan,nan,nan,27.476353429123215,0.801510214805603,0.025281330570578575,0.061432287096977234,0.03440968692302704,1.8398985233053389,nan,0.01700439304113388
FLUX179_x2_unpaired,img_0000005,rf_1step,2048,2048,nan,nan,nan,nan,31.504790345352184,0.9114527702331543,0.01816696859896183,0.042197566479444504,0.02004874311387539,1.0720136144180408,nan,0.018470868468284607
FLUX179_x2_unpaired,img_0000006,feature_bicubic,2048,2048,nan,nan,nan,nan,33.4576040477481,0.9549498558044434,0.011606281623244286,0.015991104766726494,0.008560719899833202,1.5876749689097693,nan,0.016268782317638397
FLUX179_x2_unpaired,img_0000006,rf_1step,2048,2048,nan,nan,nan,nan,36.76075063703193,0.9730443358421326,0.011032378301024437,0.010419664904475212,0.005681627430021763,1.0537171825341993,nan,0.0193167757242918
FLUX179_x2_unpaired,img_0000007,feature_bicubic,2048,2048,nan,nan,nan,nan,28.03541224674543,0.895265519618988,0.01760605163872242,0.03913270682096481,0.02144557051360607,1.848772578150303,nan,0.01471702754497528
FLUX179_x2_unpaired,img_0000007,rf_1step,2048,2048,nan,nan,nan,nan,31.847357057650946,0.9542688727378845,0.014766624197363853,0.026153331622481346,0.01212555542588234,1.0453158311638409,nan,0.018697254359722137
FLUX179_x2_unpaired,img_0000008,feature_bicubic,2048,2048,nan,nan,nan,nan,31.392880617097546,0.9189705848693848,0.014412369579076767,0.025218460708856583,0.014833681285381317,1.7425272291349967,nan,0.01543560903519392
FLUX179_x2_unpaired,img_0000008,rf_1step,2048,2048,nan,nan,nan,nan,35.15447946921901,0.9683932662010193,0.013257342390716076,0.01469876803457737,0.009134432300925255,1.0730308074462132,nan,0.022136211395263672
FLUX179_x2_unpaired,img_0000009,feature_bicubic,2048,2048,nan,nan,nan,nan,30.4986768960727,0.9342240691184998,0.013229645788669586,0.023335615172982216,0.012580566108226776,1.7858787880390379,nan,0.015288293361663818
FLUX179_x2_unpaired,img_0000009,rf_1step,2048,2048,nan,nan,nan,nan,32.97777669588166,0.9563006162643433,0.013489440083503723,0.017052341252565384,0.007224614731967449,1.0255727834964317,nan,0.020775768905878067
FLUX179_x2_unpaired,img_0000010,feature_bicubic,2048,2048,nan,nan,nan,nan,33.11230561559371,0.9477264285087585,0.011589741334319115,0.019806183874607086,0.011015653610229492,1.7896886239015468,nan,0.01531541533768177
FLUX179_x2_unpaired,img_0000010,rf_1step,2048,2048,nan,nan,nan,nan,35.39275533624818,0.9681262969970703,0.012035079300403595,0.015807803720235825,0.008192017674446106,1.3309388037711873,nan,0.020289599895477295
FLUX179_x2_unpaired,img_0000011,feature_bicubic,2048,2048,nan,nan,nan,nan,32.909496104927086,0.9490828514099121,0.011245324276387691,0.016526874154806137,0.009128689765930176,1.6321885227086435,nan,0.014874408952891827
FLUX179_x2_unpaired,img_0000011,rf_1step,2048,2048,nan,nan,nan,nan,36.89678958963371,0.9691352844238281,0.010411972180008888,0.010286571457982063,0.00594025244936347,1.0621033377679936,nan,0.01814011111855507
FLUX179_x2_unpaired,img_0000012,feature_bicubic,2048,2048,nan,nan,nan,nan,36.22780688348899,0.9741320610046387,0.010213530622422695,0.012176156044006348,0.006509742699563503,1.552058639883683,nan,0.016638362780213356
FLUX179_x2_unpaired,img_0000012,rf_1step,2048,2048,nan,nan,nan,nan,37.58187137603947,0.9828755259513855,0.011012031696736813,0.009309845976531506,0.005318207200616598,1.2679716872622435,nan,0.020550651475787163
FLUX179_x2_unpaired,img_0000013,feature_bicubic,2048,2048,nan,nan,nan,nan,33.85013739138977,0.9427322149276733,0.010962782427668571,0.016744911670684814,0.009181177243590355,1.6299579705496234,nan,0.015240760520100594
FLUX179_x2_unpaired,img_0000013,rf_1step,2048,2048,nan,nan,nan,nan,35.92154512186287,0.9218976497650146,0.011961433105170727,0.01290147379040718,0.006881934590637684,1.2217675186090269,nan,0.020911935716867447
FLUX179_x2_unpaired,img_0000014,feature_bicubic,2048,2048,nan,nan,nan,nan,33.30145816029975,0.9477769732475281,0.011453459039330482,0.017886240035295486,0.009726385585963726,1.707677768794508,nan,0.015925582498311996
FLUX179_x2_unpaired,img_0000014,rf_1step,2048,2048,nan,nan,nan,nan,36.21663845665794,0.9596145153045654,0.011697935871779919,0.013471661135554314,0.007350577972829342,1.2905532565052558,nan,0.02057018131017685
FLUX179_x2_unpaired,img_0000015,feature_bicubic,2048,2048,nan,nan,nan,nan,36.16207808258771,0.9267762899398804,0.011318176984786987,0.021366331726312637,0.011845010332763195,1.8394138974605467,nan,0.01632588915526867
