reference,method,n_real_images,n_generated_images,n_real_patches,n_generated_patches,feature_dim,FID,KID_mmd2,KID_x1000,pFID,pKID_mmd2,pKID_x1000
OpenImages HR real features,bicubic_x2,150,5,2400,80,2048,472.58856014154617,0.05812611685576741,58.12611685576741,236.20702536734316,0.045050074942645235,45.05007494264524
OpenImages HR real features,RF one-step,150,5,2400,80,2048,475.1969041595984,0.056461455730584476,56.461455730584476,229.56966382352815,0.04212685746448974,42.126857464489746
OpenImages HR real features,LUA x2,150,5,2400,80,2048,479.93071309063725,0.06399772528137104,63.997725281371046,252.82320165905358,0.05639747922335525,56.39747922335525
OpenImages HR real features,LSRNA x2,150,5,2400,80,2048,419.31758163695037,0.03409555899578898,34.09555899578898,211.6813739813975,0.024840188368661753,24.840188368661753
